-630.4396	23.3163	749.7507
-652.3811	466.0297	902.9856
-477.0917	84.1436	930.5437
-185.1337	80.1251	844.5511
-455.1333	226.3243	871.6476
-743.3053	368.239	951.0804
-632.2018	463.0097	896.9359
-230.8956	74.4118	878.3438
-363.4668	81.9476	956.57
-226.7573	213.9695	606.7202
-87.4692	187.9734	793.5734
-591.9904	276.6312	932.4918
-106.1648	116.9931	852.696
-447.6752	10.3503	751.6234
-103.9879	97.5844	864.7459
-75.5389	122.5525	906.1509
-220.9738	144.7435	769.3622
-173.3578	249.5585	634.1708
-664.9311	278.4927	831.5102
-190.0691	112.8263	764.5879
-680.6143	131.0477	861.5718
-551.0997	106.0185	772.649
-530.0381	159.2011	956.0402
-377.1279	197.3908	630.1481
-377.0121	40.1736	864.7667
-195.1308	190.0251	860.1959
-612.5152	307.5914	807.803
-301.2026	512.621	1018.6018
-643.2812	468.1491	984.7836
-325.9787	248.6874	919.4959
-559.7695	247.4081	837.42
-179.7717	315.3623	888.614
-518.456	361.7158	886.7581
-334.6002	63.6953	845.0677
-564.0424	205.4028	835.7504
-602.3292	370.5736	1067.7692
-217.3144	504.2955	928.5194
-277.5597	84.1032	664.5624
-599.0029	386.6863	997.5334
-708.6033	149.7644	781.8739
-113.9607	347.3001	999.3166
-342.5626	163.1239	928.9921
-329.411	170.8968	942.0965
-615.0696	236.5698	992.1921
-193.9755	122.4314	737.2367
-78.2423	178.842	778.1894
-494.0365	105.9379	864.3188
-670.3531	436.7642	842.0125
-241.2947	76.225	800.0494
-542.5626	126.9	666.5364
-630.4396	23.3163	749.7507
-652.3811	466.0297	902.9856
-477.0917	84.1436	930.5437
-185.1337	80.1251	844.5511
-455.1333	226.3243	871.6476
-743.3053	368.239	951.0804
-632.2018	463.0097	896.9359
-230.8956	74.4118	878.3438
-363.4668	81.9476	956.57
-226.7573	213.9695	606.7202
-87.4692	187.9734	793.5734
-591.9904	276.6312	932.4918
-106.1648	116.9931	852.696
-447.6752	10.3503	751.6234
-103.9879	97.5844	864.7459
-75.5389	122.5525	906.1509
-220.9738	144.7435	769.3622
-173.3578	249.5585	634.1708
-664.9311	278.4927	831.5102
-190.0691	112.8263	764.5879
-680.6143	131.0477	861.5718
-551.0997	106.0185	772.649
-530.0381	159.2011	956.0402
-377.1279	197.3908	630.1481
-377.0121	40.1736	864.7667
-195.1308	190.0251	860.1959
-612.5152	307.5914	807.803
-301.2026	512.621	1018.6018
-643.2812	468.1491	984.7836
-325.9787	248.6874	919.4959
-559.7695	247.4081	837.42
-179.7717	315.3623	888.614
-518.456	361.7158	886.7581
-334.6002	63.6953	845.0677
-564.0424	205.4028	835.7504
-602.3292	370.5736	1067.7692
-217.3144	504.2955	928.5194
-277.5597	84.1032	664.5624
-599.0029	386.6863	997.5334
-708.6033	149.7644	781.8739
-113.9607	347.3001	999.3166
-342.5626	163.1239	928.9921
-329.411	170.8968	942.0965
-615.0696	236.5698	992.1921
-193.9755	122.4314	737.2367
-78.2423	178.842	778.1894
-494.0365	105.9379	864.3188
-670.3531	436.7642	842.0125
-241.2947	76.225	800.0494
-542.5626	126.9	666.5364
