0.10842,-0.4257,1.8527,0.76274,1.3092,1.6616
0.10975,-0.42636,1.8517,0.76095,1.3103,1.6633
0.11103,-0.42692,1.851,0.75964,1.3116,1.6649
0.11231,-0.4273,1.8507,0.75887,1.3129,1.6665
0.11357,-0.42761,1.8505,0.75818,1.3142,1.668
0.11483,-0.42784,1.8504,0.75757,1.3155,1.6696
0.11606,-0.42801,1.8504,0.75703,1.3169,1.671
0.11728,-0.42804,1.8508,0.75699,1.3183,1.6724
0.11847,-0.428,1.8513,0.75702,1.3197,1.6738
0.11965,-0.42782,1.8521,0.75752,1.3211,1.6751
0.12078,-0.42754,1.8533,0.7585,1.3226,1.6763
0.12188,-0.42713,1.8547,0.75996,1.3242,1.6774
0.12295,-0.42665,1.8562,0.76144,1.3257,1.6784
0.12398,-0.4261,1.8578,0.76302,1.3274,1.6794
0.12499,-0.42545,1.8598,0.765,1.329,1.6804
0.12596,-0.42473,1.8618,0.76705,1.3306,1.6813
0.12696,-0.42389,1.864,0.76932,1.3321,1.6822
0.12799,-0.42294,1.8664,0.7718,1.3335,1.6831
0.12894,-0.42191,1.8691,0.77473,1.335,1.6838
0.12985,-0.42084,1.8718,0.77764,1.3365,1.6846
0.13081,-0.41963,1.8748,0.78079,1.3378,1.6853
0.13172,-0.41839,1.8778,0.78396,1.3392,1.686
0.13253,-0.41711,1.881,0.78734,1.3407,1.6866
0.13337,-0.41569,1.8845,0.79135,1.342,1.6871
0.13421,-0.41422,1.888,0.79517,1.3433,1.6877
0.13494,-0.41272,1.8917,0.79923,1.3447,1.6881
0.13558,-0.41117,1.8955,0.80372,1.3462,1.6884
0.13622,-0.40959,1.8994,0.80804,1.3476,1.6888
0.13684,-0.40801,1.9031,0.81202,1.3489,1.6891
0.13742,-0.40634,1.9071,0.81645,1.3502,1.6894
0.13795,-0.40457,1.9114,0.82151,1.3515,1.6895
0.13845,-0.40282,1.9156,0.82622,1.3528,1.6897
0.13895,-0.401,1.92,0.8312,1.3539,1.6898
0.13939,-0.39911,1.9246,0.83662,1.3551,1.6898
0.13976,-0.39721,1.9292,0.84211,1.3562,1.6897
0.14012,-0.39529,1.9338,0.84751,1.3573,1.6897
0.14054,-0.39328,1.9386,0.85321,1.3581,1.6896
0.14082,-0.39132,1.9433,0.85874,1.3591,1.6895
0.141,-0.38934,1.9483,0.86474,1.3602,1.6892
0.14116,-0.3873,1.9534,0.8711,1.3611,1.6888
0.14132,-0.38528,1.9583,0.87714,1.3619,1.6885
0.14135,-0.38325,1.9635,0.88366,1.3629,1.688
0.14136,-0.38119,1.9688,0.89052,1.3638,1.6874
0.14138,-0.37913,1.9741,0.89729,1.3645,1.6869
0.14131,-0.3771,1.9793,0.90406,1.3652,1.6863
0.14121,-0.37509,1.9846,0.91092,1.3659,1.6856
0.14103,-0.37311,1.9898,0.91772,1.3666,1.6848
0.14089,-0.37112,1.9952,0.92483,1.3671,1.6841
0.14076,-0.36914,2.0005,0.93176,1.3673,1.6833
0.14061,-0.36722,2.0055,0.93823,1.3675,1.6826
0.14031,-0.36535,2.0107,0.94509,1.3679,1.6817
0.14008,-0.36348,2.0156,0.95141,1.3679,1.6808
0.13972,-0.36166,2.0206,0.95823,1.368,1.6799
0.1393,-0.35989,2.0256,0.96491,1.3682,1.6788
0.13889,-0.3581,2.0308,0.97224,1.3682,1.6777
0.13849,-0.35637,2.0358,0.97924,1.368,1.6766
0.138,-0.35469,2.0407,0.98625,1.3678,1.6754
0.13756,-0.35305,2.0455,0.99291,1.3674,1.6742
