-0.962120, 0.000000; -0.634778, 0.129115; 0.286099, -0.017607; -0.512986, 0.001453; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962120, 0.000000; -0.634132, 0.129115; 0.286014, -0.016873; -0.512986, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962116, 0.000734; -0.633494, 0.127647; 0.285934, -0.016139; -0.512986, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962116, 0.000000; -0.632918, 0.115176; 0.285842, -0.018340; -0.512971, 0.002906; 0.827457, 0.001453; -0.652007, 0.000000; 
-0.962116, 0.000000; -0.632295, 0.124713; 0.285732, -0.022008; -0.512964, 0.001453; 0.827457, 0.000000; -0.652007, 0.000000; 
-0.962116, 0.000000; -0.631583, 0.142319; 0.285611, -0.024209; -0.512964, 0.000000; 0.827457, 0.000000; -0.652007, 0.000000; 
-0.962109, 0.001467; -0.630802, 0.156258; 0.285479, -0.026410; -0.512964, 0.000000; 0.827457, 0.000000; -0.652007, 0.000000; 
-0.962094, 0.002934; -0.629936, 0.173131; 0.285325, -0.030811; -0.512964, 0.000000; 0.827457, 0.000000; -0.652007, 0.000000; 
-0.962080, 0.002934; -0.629100, 0.167262; 0.285171, -0.030811; -0.512964, 0.000000; 0.827465, 0.001453; -0.652007, 0.000000; 
-0.962065, 0.002934; -0.628363, 0.147455; 0.285020, -0.030078; -0.512964, 0.000000; 0.827465, 0.000000; -0.652007, 0.000000; 
-0.962058, 0.001467; -0.627666, 0.139385; 0.284859, -0.032279; -0.512964, 0.000000; 0.827465, 0.000000; -0.652007, 0.000000; 
-0.962058, 0.000000; -0.626983, 0.136451; 0.284676, -0.036680; -0.512964, 0.000000; 0.827472, 0.001453; -0.652007, 0.000000; 
-0.962058, 0.000000; -0.626275, 0.141586; 0.284426, -0.049885; -0.512964, 0.000000; 0.827472, 0.000000; -0.652007, 0.000000; 
-0.962058, 0.000000; -0.625425, 0.170197; 0.284118, -0.061623; -0.512964, 0.000000; 0.827472, 0.000000; -0.652007, 0.000000; 
-0.962054, 0.000734; -0.624511, 0.182668; 0.283740, -0.075561; -0.512964, 0.000000; 0.827479, 0.001453; -0.652007, 0.000000; 
-0.962043, 0.002201; -0.623484, 0.205410; 0.283359, -0.076295; -0.512971, -0.001453; 0.827479, 0.000000; -0.652007, 0.000000; 
-0.962025, 0.003668; -0.622450, 0.206877; 0.282952, -0.081430; -0.512971, 0.000000; 0.827487, 0.001453; -0.652007, 0.000000; 
-0.962006, 0.003668; -0.621448, 0.200274; 0.282548, -0.080697; -0.512971, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.961992, 0.002934; -0.620502, 0.189270; 0.282130, -0.083631; -0.512971, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.961977, 0.002934; -0.619596, 0.181201; 0.281694, -0.087299; -0.512964, 0.001453; 0.827494, 0.001453; -0.652007, 0.000000; 
